ID,Attribute,Date,Value
40002,Emission,02-Mar2019 04:27:01,7
40003,Pressure,02-Mar2019 04:25:05,2
40004,Discharge,02-Mar2019 04:30:53,18
40005,Emission,02-Mar2019 04:27:05,9
40006,Temperature,02-Mar2019 04:25:41,53
40007,Discharge,02-Mar2019 04:30:57,10
40008,No2,02-Mar2019 04:25:13,Low
40009,Vibration,02-Mar2019 04:26:53,75
40010,Vibration,02-Mar2019 04:26:57,59
40011,RPM,02-Mar2019 04:22:33,1722
40012,Temperature,02-Mar2019 04:25:45,60
40013,No2,02-Mar2019 04:25:17,High
40014,Moisture,02-Mar2019 04:24:29,65%
40015,Moisture,02-Mar2019 04:24:33,58%
40016,No2,02-Mar2019 04:25:21,Low
40017,Fuel Rate,02-Mar2019 04:26:53,29
40018,Temperature,02-Mar2019 04:25:49,60
40019,Temperature,02-Mar2019 04:25:53,62
40020,Moisture,02-Mar2019 04:24:37,61%
40021,Vibration,02-Mar2019 04:27:01,71
40022,Pressure,02-Mar2019 04:25:09,3
40023,Discharge,02-Mar2019 04:31:01,13
40024,Temperature,02-Mar2019 04:25:57,59
40025,Pressure,02-Mar2019 04:25:13,5
40026,Emission,02-Mar2019 04:27:09,10
40027,RPM,02-Mar2019 04:22:37,1991
40028,Vibration,02-Mar2019 04:27:05,79
40029,Emission,02-Mar2019 04:27:13,9
40030,Discharge,02-Mar2019 04:31:05,12
40031,Moisture,02-Mar2019 04:24:41,No Signal
40032,Temperature,02-Mar2019 04:26:01,74
40033,Vibration,02-Mar2019 04:27:09,66
40034,RPM,02-Mar2019 04:22:41,1148
40035,Moisture,02-Mar2019 04:24:45,64%
40036,Emission,02-Mar2019 04:27:17,6
40037,Emission,02-Mar2019 04:27:21,9
40038,Temperature,02-Mar2019 04:26:05,74
40039,Temperature,02-Mar2019 04:26:09,65
40040,Moisture,02-Mar2019 04:24:49,68%
40041,Temperature,02-Mar2019 04:26:13,62
40042,Emission,02-Mar2019 04:27:25,9
40043,Vibration,02-Mar2019 04:27:13,80
40044,Discharge,02-Mar2019 04:31:09,20
40045,Discharge,02-Mar2019 04:31:13,12
40046,Emission,02-Mar2019 04:27:29,10
40047,Temperature,02-Mar2019 04:26:17,77
40048,Fuel Rate,02-Mar2019 04:26:57,30
40049,Emission,02-Mar2019 04:27:33,8
40050,Pressure,02-Mar2019 04:25:17,2
40051,Fuel Rate,02-Mar2019 04:27:01,26
40052,RPM,02-Mar2019 04:22:45,1995
40053,Vibration,02-Mar2019 04:27:17,63
40054,Moisture,02-Mar2019 04:24:53,52%
40055,No2,02-Mar2019 04:25:25,Medium
40056,Emission,02-Mar2019 04:27:37,9
40057,Discharge,02-Mar2019 04:31:17,14
40058,Vibration,02-Mar2019 04:27:21,74
40059,Vibration,02-Mar2019 04:27:25,80
40060,Emission,02-Mar2019 04:27:41,8
40061,Moisture,02-Mar2019 04:24:57,69%
40062,Pressure,02-Mar2019 04:25:21,3
40063,Moisture,02-Mar2019 04:25:01,62%
40064,Vibration,02-Mar2019 04:27:29,72
40065,Vibration,02-Mar2019 04:27:33,52
40066,Moisture,02-Mar2019 04:25:05,61%
40067,Emission,02-Mar2019 04:27:45,7
40068,RPM,02-Mar2019 04:22:49,1167
40069,No2,02-Mar2019 04:25:29,High
40070,Discharge,02-Mar2019 04:31:21,16
40071,Vibration,02-Mar2019 04:27:37,79
40072,Pressure,02-Mar2019 04:25:25,3
40073,Pressure,02-Mar2019 04:25:29,4
40074,RPM,02-Mar2019 04:22:53,1940
40075,Pressure,02-Mar2019 04:25:33,5
40076,RPM,02-Mar2019 04:22:57,1772
40077,Fuel Rate,02-Mar2019 04:27:05,30
40078,Vibration,02-Mar2019 04:27:41,63
40079,Gas Flow,02-Mar2019 04:28:53,62
40080,Emission,02-Mar2019 04:27:49,9
40081,Temperature,02-Mar2019 04:26:21,65
40082,Temperature,02-Mar2019 04:26:25,75
40083,Fuel Rate,02-Mar2019 04:27:09,30
40084,Moisture,02-Mar2019 04:25:09,68%
40085,Temperature,02-Mar2019 04:26:29,68
40086,RPM,02-Mar2019 04:23:01,1967
40087,Moisture,02-Mar2019 04:25:13,56%
40088,Fuel Rate,02-Mar2019 04:27:13,Data Lost
40089,Moisture,02-Mar2019 04:25:17,I/O TimeOut
40090,Pressure,02-Mar2019 04:25:37,1
40091,Emission,02-Mar2019 04:27:53,6
40092,Discharge,02-Mar2019 04:31:25,19
40093,Temperature,02-Mar2019 04:26:33,60
40094,Moisture,02-Mar2019 04:25:21,68%
40095,Pressure,02-Mar2019 04:25:41,2
40096,Moisture,02-Mar2019 04:25:25,66%
40097,Emission,02-Mar2019 04:27:57,6
40098,RPM,02-Mar2019 04:23:05,1416
40099,Vibration,02-Mar2019 04:27:45,68
40100,Vibration,02-Mar2019 04:27:49,81
40101,RPM,02-Mar2019 04:23:09,No Signal
40102,Gas Flow,02-Mar2019 04:28:57,66
40103,Gas Flow,02-Mar2019 04:29:01,63
40104,Emission,02-Mar2019 04:28:01,7
40105,Emission,02-Mar2019 04:28:05,8
40106,RPM,02-Mar2019 04:23:13,1305
40107,Moisture,02-Mar2019 04:25:29,58%
40108,Emission,02-Mar2019 04:28:09,7
40109,RPM,02-Mar2019 04:23:17,1368
40110,RPM,02-Mar2019 04:23:21,1030
40111,Fuel Rate,02-Mar2019 04:27:17,26
40112,Gas Flow,02-Mar2019 04:29:05,78
40113,Fuel Rate,02-Mar2019 04:27:21,26
40114,Moisture,02-Mar2019 04:25:33,50%
40115,Fuel Rate,02-Mar2019 04:27:25,27
40116,No2,02-Mar2019 04:25:33,Low
40117,Temperature,02-Mar2019 04:26:37,70
40118,Moisture,02-Mar2019 04:25:37,53%
40119,Moisture,02-Mar2019 04:25:41,63%
40120,Gas Flow,02-Mar2019 04:29:09,76
40121,Moisture,02-Mar2019 04:25:45,66%
40122,Temperature,02-Mar2019 04:26:41,60
40123,Fuel Rate,02-Mar2019 04:27:29,I/O TimeOut
40124,Temperature,02-Mar2019 04:26:45,65
40125,RPM,02-Mar2019 04:23:25,1612
40126,Emission,02-Mar2019 04:28:13,10
40127,Vibration,02-Mar2019 04:27:53,54
40128,Gas Flow,02-Mar2019 04:29:13,69
40129,No2,02-Mar2019 04:25:37,Low
40130,Emission,02-Mar2019 04:28:17,No Signal
40131,Fuel Rate,02-Mar2019 04:27:33,29
40132,Temperature,02-Mar2019 04:26:49,63
40133,No2,02-Mar2019 04:25:41,Low
40134,Pressure,02-Mar2019 04:25:45,1
40135,No2,02-Mar2019 04:25:45,Medium
40136,Pressure,02-Mar2019 04:25:49,3
40137,Discharge,02-Mar2019 04:31:29,13
40138,Temperature,02-Mar2019 04:26:53,52
40139,Discharge,02-Mar2019 04:31:33,14
40140,Pressure,02-Mar2019 04:25:53,4
40141,Emission,02-Mar2019 04:28:21,6
40142,Temperature,02-Mar2019 04:26:57,70
40143,No2,02-Mar2019 04:25:49,High
40144,RPM,02-Mar2019 04:23:29,1673
40145,Gas Flow,02-Mar2019 04:29:17,71
40146,Temperature,02-Mar2019 04:27:01,69
40147,Pressure,02-Mar2019 04:25:57,4
40148,RPM,02-Mar2019 04:23:33,1772
40149,Gas Flow,02-Mar2019 04:29:21,68
40150,Fuel Rate,02-Mar2019 04:27:37,30
40151,Fuel Rate,02-Mar2019 04:27:41,26
40152,Vibration,02-Mar2019 04:27:57,61
40153,Moisture,02-Mar2019 04:25:49,59%
40154,Gas Flow,02-Mar2019 04:29:25,79
40155,Emission,02-Mar2019 04:28:25,5
40156,RPM,02-Mar2019 04:23:37,1273
40157,RPM,02-Mar2019 04:23:41,1734
40158,Gas Flow,02-Mar2019 04:29:29,80
40159,Moisture,02-Mar2019 04:25:53,68%
40160,Pressure,02-Mar2019 04:26:01,5
40161,RPM,02-Mar2019 04:23:45,1661
40162,RPM,02-Mar2019 04:23:49,1777
40163,Gas Flow,02-Mar2019 04:29:33,61
40164,Fuel Rate,02-Mar2019 04:27:45,30
40165,Fuel Rate,02-Mar2019 04:27:49,29
40166,Moisture,02-Mar2019 04:25:57,51%
40167,Gas Flow,02-Mar2019 04:29:37,77
40168,Emission,02-Mar2019 04:28:29,5
40169,No2,02-Mar2019 04:25:53,Medium
40170,Discharge,02-Mar2019 04:31:37,15
40171,Vibration,02-Mar2019 04:28:01,59
40172,Temperature,02-Mar2019 04:27:05,64
40173,Emission,02-Mar2019 04:28:33,5
40174,Emission,02-Mar2019 04:28:37,8
40175,Vibration,02-Mar2019 04:28:05,53
40176,Discharge,02-Mar2019 04:31:41,12
40177,Vibration,02-Mar2019 04:28:09,79
40178,Emission,02-Mar2019 04:28:41,5
40179,Pressure,02-Mar2019 04:26:05,1
40180,Moisture,02-Mar2019 04:26:01,64%
40181,Vibration,02-Mar2019 04:28:13,51
40182,RPM,02-Mar2019 04:23:53,1555
40183,Gas Flow,02-Mar2019 04:29:41,71
40184,Fuel Rate,02-Mar2019 04:27:53,28
40185,Emission,02-Mar2019 04:28:45,10
40186,Vibration,02-Mar2019 04:28:17,62
40187,No2,02-Mar2019 04:25:57,High
40188,Temperature,02-Mar2019 04:27:09,78
40189,No2,02-Mar2019 04:26:01,Low
40190,Vibration,02-Mar2019 04:28:21,65
40191,Pressure,02-Mar2019 04:26:09,2
40192,Vibration,02-Mar2019 04:28:25,68
40193,Discharge,02-Mar2019 04:31:45,18
40194,Discharge,02-Mar2019 04:31:49,14
40195,Fuel Rate,02-Mar2019 04:27:57,27
40196,RPM,02-Mar2019 04:23:57,1562
40197,Temperature,02-Mar2019 04:27:13,70
40198,Temperature,02-Mar2019 04:27:17,64
40199,Vibration,02-Mar2019 04:28:29,62
40200,Moisture,02-Mar2019 04:26:05,56%
40201,Gas Flow,02-Mar2019 04:29:45,70
40202,Gas Flow,02-Mar2019 04:29:49,61
40203,Fuel Rate,02-Mar2019 04:28:01,29
40204,Moisture,02-Mar2019 04:26:09,50%
40205,RPM,02-Mar2019 04:24:01,1291
40206,RPM,02-Mar2019 04:24:05,1335
40207,Gas Flow,02-Mar2019 04:29:53,62
40208,Emission,02-Mar2019 04:28:49,7
40209,Fuel Rate,02-Mar2019 04:28:05,26
40210,Fuel Rate,02-Mar2019 04:28:09,28
40211,Vibration,02-Mar2019 04:28:33,50
40212,Emission,02-Mar2019 04:28:53,10
40213,Discharge,02-Mar2019 04:31:53,16
40214,No2,02-Mar2019 04:26:05,Medium
40215,Moisture,02-Mar2019 04:26:13,66%
40216,Moisture,02-Mar2019 04:26:17,55%
40217,Emission,02-Mar2019 04:28:57,9
40218,Emission,02-Mar2019 04:29:01,5
40219,Fuel Rate,02-Mar2019 04:28:13,29
40220,Emission,02-Mar2019 04:29:05,7
40221,Pressure,02-Mar2019 04:26:13,4
40222,Moisture,02-Mar2019 04:26:21,65%
40223,Moisture,02-Mar2019 04:26:25,50%
40224,RPM,02-Mar2019 04:24:09,1882
40225,Pressure,02-Mar2019 04:26:17,2
40226,Emission,02-Mar2019 04:29:09,9
40227,Moisture,02-Mar2019 04:26:29,51%
40228,Emission,02-Mar2019 04:29:13,8
40229,Temperature,02-Mar2019 04:27:21,80
40230,No2,02-Mar2019 04:26:09,Medium
40231,No2,02-Mar2019 04:26:13,Low
40232,RPM,02-Mar2019 04:24:13,1364
40233,Vibration,02-Mar2019 04:28:37,88
40234,RPM,02-Mar2019 04:24:17,1858
40235,Fuel Rate,02-Mar2019 04:28:17,29
40236,RPM,02-Mar2019 04:24:21,1527
40237,Moisture,02-Mar2019 04:26:33,66%
40238,Temperature,02-Mar2019 04:27:25,73
40239,RPM,02-Mar2019 04:24:25,1230
40240,Vibration,02-Mar2019 04:28:41,83
40241,Pressure,02-Mar2019 04:26:21,4
40242,Temperature,02-Mar2019 04:27:29,60
40243,Discharge,02-Mar2019 04:31:57,No Signal
40244,Moisture,02-Mar2019 04:26:37,51%
40245,Vibration,02-Mar2019 04:28:45,52
40246,Pressure,02-Mar2019 04:26:25,4
40247,Gas Flow,02-Mar2019 04:29:57,70
40248,Gas Flow,02-Mar2019 04:30:01,61
40249,RPM,02-Mar2019 04:24:29,1994
40250,Moisture,02-Mar2019 04:26:41,63%
40251,Pressure,02-Mar2019 04:26:29,4
40252,Gas Flow,02-Mar2019 04:30:05,62
40253,Gas Flow,02-Mar2019 04:30:09,70
40254,RPM,02-Mar2019 04:24:33,1374
40255,Moisture,02-Mar2019 04:26:45,68%
40256,Gas Flow,02-Mar2019 04:30:13,79
40257,Moisture,02-Mar2019 04:26:49,65%
40258,Pressure,02-Mar2019 04:26:33,5
40259,Moisture,02-Mar2019 04:26:53,67%
40260,Fuel Rate,02-Mar2019 04:28:21,29
40261,Discharge,02-Mar2019 04:32:01,13
40262,RPM,02-Mar2019 04:24:37,1442
40263,Gas Flow,02-Mar2019 04:30:17,79
40264,Discharge,02-Mar2019 04:32:05,11
40265,Temperature,02-Mar2019 04:27:33,76
40266,Emission,02-Mar2019 04:29:17,7
40267,Temperature,02-Mar2019 04:27:37,76
40268,Moisture,02-Mar2019 04:26:57,56%
40269,No2,02-Mar2019 04:26:17,Low
40270,Gas Flow,02-Mar2019 04:30:21,63
40271,Discharge,02-Mar2019 04:32:09,16
40272,No2,02-Mar2019 04:26:21,Low
40273,No2,02-Mar2019 04:26:25,Low
40274,Gas Flow,02-Mar2019 04:30:25,60
40275,RPM,02-Mar2019 04:24:41,1153
40276,No2,02-Mar2019 04:26:29,Medium
40277,RPM,02-Mar2019 04:24:45,1546
40278,No2,02-Mar2019 04:26:33,Medium
40279,Moisture,02-Mar2019 04:27:01,69%
40280,Moisture,02-Mar2019 04:27:05,70%
40281,Vibration,02-Mar2019 04:28:49,58
40282,No2,02-Mar2019 04:26:37,Medium
40283,Vibration,02-Mar2019 04:28:53,78
40284,Moisture,02-Mar2019 04:27:09,56%
40285,Pressure,02-Mar2019 04:26:37,5
40286,Moisture,02-Mar2019 04:27:13,52%
40287,Emission,02-Mar2019 04:29:21,5
40288,RPM,02-Mar2019 04:24:49,1955
40289,Pressure,02-Mar2019 04:26:41,4
40290,RPM,02-Mar2019 04:24:53,1287
40291,Fuel Rate,02-Mar2019 04:28:25,27
40292,Gas Flow,02-Mar2019 04:30:29,77
40293,RPM,02-Mar2019 04:24:57,1676
40294,Fuel Rate,02-Mar2019 04:28:29,I/O TimeOut
40295,Moisture,02-Mar2019 04:27:17,69%
40296,Temperature,02-Mar2019 04:27:41,65
40297,Emission,02-Mar2019 04:29:25,7
40298,Pressure,02-Mar2019 04:26:45,5
40299,RPM,02-Mar2019 04:25:01,1085
40300,Emission,02-Mar2019 04:29:29,Data Lost
40301,Gas Flow,02-Mar2019 04:30:33,76
40302,Gas Flow,02-Mar2019 04:30:37,75
40303,Pressure,02-Mar2019 04:26:49,4
40304,Pressure,02-Mar2019 04:26:53,1
40305,Pressure,02-Mar2019 04:26:57,1
40306,No2,02-Mar2019 04:26:41,Medium
40307,Discharge,02-Mar2019 04:32:13,13
40308,Gas Flow,02-Mar2019 04:30:41,62
40309,Gas Flow,02-Mar2019 04:30:45,63
40310,Emission,02-Mar2019 04:29:33,5
40311,No2,02-Mar2019 04:26:45,Medium
40312,RPM,02-Mar2019 04:25:05,1039
40313,Temperature,02-Mar2019 04:27:45,61
40314,Moisture,02-Mar2019 04:27:21,61%
40315,Temperature,02-Mar2019 04:27:49,60
40316,Emission,02-Mar2019 04:29:37,5
40317,Pressure,02-Mar2019 04:27:01,3
40318,No2,02-Mar2019 04:26:49,Medium
40319,Pressure,02-Mar2019 04:27:05,3
40320,Gas Flow,02-Mar2019 04:30:49,76
40321,Fuel Rate,02-Mar2019 04:28:33,28
40322,Moisture,02-Mar2019 04:27:25,55%
40323,Moisture,02-Mar2019 04:27:29,57%
40324,Temperature,02-Mar2019 04:27:53,70
40325,Discharge,02-Mar2019 04:32:17,19
40326,No2,02-Mar2019 04:26:53,High
40327,Emission,02-Mar2019 04:29:41,8
40328,RPM,02-Mar2019 04:25:09,1600
40329,Gas Flow,02-Mar2019 04:30:53,64
40330,RPM,02-Mar2019 04:25:13,Data Lost
40331,Vibration,02-Mar2019 04:28:57,81
40332,Moisture,02-Mar2019 04:27:33,61%
40333,Temperature,02-Mar2019 04:27:57,72
40334,Moisture,02-Mar2019 04:27:37,68%
40335,Gas Flow,02-Mar2019 04:30:57,77
40336,Pressure,02-Mar2019 04:27:09,5
40337,Temperature,02-Mar2019 04:28:01,52
40338,Emission,02-Mar2019 04:29:45,7
40339,RPM,02-Mar2019 04:25:17,1545
40340,No2,02-Mar2019 04:26:57,Low
40341,RPM,02-Mar2019 04:25:21,1662
40342,RPM,02-Mar2019 04:25:25,1553
40343,Moisture,02-Mar2019 04:27:41,55%
40344,Moisture,02-Mar2019 04:27:45,56%
40345,RPM,02-Mar2019 04:25:29,1707
40346,Pressure,02-Mar2019 04:27:13,1
40347,RPM,02-Mar2019 04:25:33,1598
40348,Discharge,02-Mar2019 04:32:21,17
40349,Vibration,02-Mar2019 04:29:01,65
40350,Discharge,02-Mar2019 04:32:25,15
40351,Moisture,02-Mar2019 04:27:49,52%
40352,Pressure,02-Mar2019 04:27:17,1
40353,Discharge,02-Mar2019 04:32:29,13
40354,Discharge,02-Mar2019 04:32:33,13
40355,Emission,02-Mar2019 04:29:49,5
40356,RPM,02-Mar2019 04:25:37,1967
40357,Temperature,02-Mar2019 04:28:05,61
40358,Vibration,02-Mar2019 04:29:05,50
40359,Gas Flow,02-Mar2019 04:31:01,61
40360,Moisture,02-Mar2019 04:27:53,55%
40361,Discharge,02-Mar2019 04:32:37,17
40362,Fuel Rate,02-Mar2019 04:28:37,27
40363,Gas Flow,02-Mar2019 04:31:05,80
40364,Discharge,02-Mar2019 04:32:41,12
40365,No2,02-Mar2019 04:27:01,High
40366,No2,02-Mar2019 04:27:05,High
40367,Gas Flow,02-Mar2019 04:31:09,69
40368,Emission,02-Mar2019 04:29:53,8
40369,Pressure,02-Mar2019 04:27:21,2
40370,Temperature,02-Mar2019 04:28:09,61
40371,Moisture,02-Mar2019 04:27:57,54%
40372,Vibration,02-Mar2019 04:29:09,63
40373,Emission,02-Mar2019 04:29:57,No Signal
40374,Pressure,02-Mar2019 04:27:25,4
40375,Vibration,02-Mar2019 04:29:13,I/O TimeOut
40376,Emission,02-Mar2019 04:30:01,10
40377,Moisture,02-Mar2019 04:28:01,59%
40378,Moisture,02-Mar2019 04:28:05,69%
40379,Pressure,02-Mar2019 04:27:29,1
40380,Temperature,02-Mar2019 04:28:13,72
40381,Pressure,02-Mar2019 04:27:33,5
40382,Emission,02-Mar2019 04:30:05,10
40383,Emission,02-Mar2019 04:30:09,6
40384,Discharge,02-Mar2019 04:32:45,13
40385,Temperature,02-Mar2019 04:28:17,66
40386,Gas Flow,02-Mar2019 04:31:13,77
40387,Moisture,02-Mar2019 04:28:09,56%
40388,Vibration,02-Mar2019 04:29:17,54
40389,RPM,02-Mar2019 04:25:41,1918
40390,Moisture,02-Mar2019 04:28:13,66%
40391,Moisture,02-Mar2019 04:28:17,53%
40392,RPM,02-Mar2019 04:25:45,1289
40393,Discharge,02-Mar2019 04:32:49,18
40394,Pressure,02-Mar2019 04:27:37,4
40395,Fuel Rate,02-Mar2019 04:28:41,30
40396,Moisture,02-Mar2019 04:28:21,58%
40397,Gas Flow,02-Mar2019 04:31:17,72
40398,Vibration,02-Mar2019 04:29:21,61
40399,Pressure,02-Mar2019 04:27:41,5
40400,No2,02-Mar2019 04:27:09,Medium
40401,Fuel Rate,02-Mar2019 04:28:45,Data Lost
40402,Discharge,02-Mar2019 04:32:53,12
40403,RPM,02-Mar2019 04:25:49,1088
40404,Emission,02-Mar2019 04:30:13,9
40405,No2,02-Mar2019 04:27:13,Low
40406,Discharge,02-Mar2019 04:32:57,18
40407,Gas Flow,02-Mar2019 04:31:21,63
40408,Moisture,02-Mar2019 04:28:25,56%
40409,Pressure,02-Mar2019 04:27:45,4
40410,Pressure,02-Mar2019 04:27:49,2
40411,Pressure,02-Mar2019 04:27:53,5
40412,Moisture,02-Mar2019 04:28:29,51%
40413,Emission,02-Mar2019 04:30:17,7
40414,No2,02-Mar2019 04:27:17,High
40415,Temperature,02-Mar2019 04:28:21,56
40416,Moisture,02-Mar2019 04:28:33,50%
40417,Gas Flow,02-Mar2019 04:31:25,72
40418,Emission,02-Mar2019 04:30:21,I/O TimeOut
40419,Gas Flow,02-Mar2019 04:31:29,69
40420,Vibration,02-Mar2019 04:29:25,56
40421,RPM,02-Mar2019 04:25:53,1665
40422,Pressure,02-Mar2019 04:27:57,2
40423,Vibration,02-Mar2019 04:29:29,50
40424,No2,02-Mar2019 04:27:21,High
40425,Pressure,02-Mar2019 04:28:01,4
40426,Emission,02-Mar2019 04:30:25,8
40427,Pressure,02-Mar2019 04:28:05,1
40428,No2,02-Mar2019 04:27:25,High
40429,Discharge,02-Mar2019 04:33:00,Data Lost
40430,Vibration,02-Mar2019 04:29:33,53
40431,Moisture,02-Mar2019 04:28:37,53%
40432,Temperature,02-Mar2019 04:28:25,64
40433,Pressure,02-Mar2019 04:28:09,3
40434,Pressure,02-Mar2019 04:28:13,1
40435,No2,02-Mar2019 04:27:29,No Signal
40436,RPM,02-Mar2019 04:25:57,1146
40437,Discharge,02-Mar2019 04:33:04,13
40438,Moisture,02-Mar2019 04:28:41,67%
40439,Discharge,02-Mar2019 04:33:08,15
40440,Temperature,02-Mar2019 04:28:29,53
40441,RPM,02-Mar2019 04:26:01,1474
40442,Pressure,02-Mar2019 04:28:17,1
40443,Gas Flow,02-Mar2019 04:31:33,73
40444,Discharge,02-Mar2019 04:33:12,11
40445,Fuel Rate,02-Mar2019 04:28:49,28
40446,Emission,02-Mar2019 04:30:29,8
40447,Gas Flow,02-Mar2019 04:31:37,61
40448,Vibration,02-Mar2019 04:29:37,60
40449,Pressure,02-Mar2019 04:28:21,5
40450,No2,02-Mar2019 04:27:33,Medium
40451,Moisture,02-Mar2019 04:28:45,62%
40452,Pressure,02-Mar2019 04:28:25,5
40453,Pressure,02-Mar2019 04:28:29,3
40454,Gas Flow,02-Mar2019 04:31:41,66
40455,No2,02-Mar2019 04:27:37,Low
40456,Emission,02-Mar2019 04:30:33,9
40457,Vibration,02-Mar2019 04:29:41,69
40458,No2,02-Mar2019 04:27:41,High
40459,Vibration,02-Mar2019 04:29:45,82
40460,Temperature,02-Mar2019 04:28:33,75
40461,Discharge,02-Mar2019 04:33:16,No Signal
40462,Gas Flow,02-Mar2019 04:31:45,69
40463,Pressure,02-Mar2019 04:28:33,3
40464,Gas Flow,02-Mar2019 04:31:49,75
40465,Temperature,02-Mar2019 04:28:37,55
40466,Gas Flow,02-Mar2019 04:31:53,60
40467,Moisture,02-Mar2019 04:28:49,67%
40468,Emission,02-Mar2019 04:30:37,6
40469,RPM,02-Mar2019 04:26:05,1407
40470,Moisture,02-Mar2019 04:28:53,50%
40471,Vibration,02-Mar2019 04:29:49,87
40472,Emission,02-Mar2019 04:30:41,6
40473,Moisture,02-Mar2019 04:28:57,66%
40474,No2,02-Mar2019 04:27:45,Medium
40475,Emission,02-Mar2019 04:30:45,8
40476,RPM,02-Mar2019 04:26:09,1768
40477,Emission,02-Mar2019 04:30:49,7
40478,RPM,02-Mar2019 04:26:13,1425
40479,Vibration,02-Mar2019 04:29:53,79
40480,Vibration,02-Mar2019 04:29:57,64
40481,Vibration,02-Mar2019 04:30:01,62
40482,Fuel Rate,02-Mar2019 04:28:53,28
40483,RPM,02-Mar2019 04:26:17,1183
40484,No2,02-Mar2019 04:27:49,High
40485,Gas Flow,02-Mar2019 04:31:57,78
40486,No2,02-Mar2019 04:27:53,Low
40487,Moisture,02-Mar2019 04:29:01,66%
40488,RPM,02-Mar2019 04:26:21,1325
40489,Temperature,02-Mar2019 04:28:41,79
40490,RPM,02-Mar2019 04:26:25,1584
40491,Temperature,02-Mar2019 04:28:45,63
40492,RPM,02-Mar2019 04:26:29,1435
40493,Gas Flow,02-Mar2019 04:32:01,65
40494,Emission,02-Mar2019 04:30:53,10
40495,Pressure,02-Mar2019 04:28:37,3
40496,Moisture,02-Mar2019 04:29:05,No Signal
40497,Moisture,02-Mar2019 04:29:09,59%
40498,Temperature,02-Mar2019 04:28:49,58
40499,Vibration,02-Mar2019 04:30:05,54
40500,Vibration,02-Mar2019 04:30:09,53
40501,Emission,02-Mar2019 04:30:57,10
40502,Moisture,02-Mar2019 04:29:13,57%
40503,Emission,02-Mar2019 04:31:01,5
40504,Gas Flow,02-Mar2019 04:32:05,Data Lost
40505,Moisture,02-Mar2019 04:29:17,57%
40506,Pressure,02-Mar2019 04:28:41,5
40507,Emission,02-Mar2019 04:31:05,9
40508,Fuel Rate,02-Mar2019 04:28:57,26
40509,No2,02-Mar2019 04:27:57,Low
40510,Fuel Rate,02-Mar2019 04:29:01,27
40511,Gas Flow,02-Mar2019 04:32:09,65
40512,Gas Flow,02-Mar2019 04:32:13,75
40513,Fuel Rate,02-Mar2019 04:29:05,26
40514,RPM,02-Mar2019 04:26:33,1358
40515,Temperature,02-Mar2019 04:28:53,76
40516,No2,02-Mar2019 04:28:01,High
40517,Discharge,02-Mar2019 04:33:20,14
40518,Vibration,02-Mar2019 04:30:13,71
40519,Temperature,02-Mar2019 04:28:57,78
40520,Gas Flow,02-Mar2019 04:32:17,65
40521,Moisture,02-Mar2019 04:29:21,53%
40522,Fuel Rate,02-Mar2019 04:29:09,25
40523,Vibration,02-Mar2019 04:30:17,83
40524,Fuel Rate,02-Mar2019 04:29:13,27
40525,Pressure,02-Mar2019 04:28:45,1
40526,No2,02-Mar2019 04:28:05,Low
40527,Discharge,02-Mar2019 04:33:24,11
40528,Gas Flow,02-Mar2019 04:32:21,64
40529,Emission,02-Mar2019 04:31:09,8
40530,No2,02-Mar2019 04:28:09,High
40531,Gas Flow,02-Mar2019 04:32:25,67
40532,Pressure,02-Mar2019 04:28:49,4
40533,Pressure,02-Mar2019 04:28:53,2
40534,Moisture,02-Mar2019 04:29:25,66%
40535,Gas Flow,02-Mar2019 04:32:29,70
40536,No2,02-Mar2019 04:28:13,Low
40537,RPM,02-Mar2019 04:26:37,1766
40538,Temperature,02-Mar2019 04:29:01,56
40539,Gas Flow,02-Mar2019 04:32:33,80
40540,No2,02-Mar2019 04:28:17,Low
40541,No2,02-Mar2019 04:28:21,High
40542,Moisture,02-Mar2019 04:29:29,57%
40543,Fuel Rate,02-Mar2019 04:29:17,26
40544,Fuel Rate,02-Mar2019 04:29:21,28
40545,No2,02-Mar2019 04:28:25,High
40546,Temperature,02-Mar2019 04:29:05,71
40547,Emission,02-Mar2019 04:31:13,10
40548,Vibration,02-Mar2019 04:30:21,72
40549,Emission,02-Mar2019 04:31:17,5
40550,Moisture,02-Mar2019 04:29:33,67%
40551,Temperature,02-Mar2019 04:29:09,69
40552,Discharge,02-Mar2019 04:33:28,18
40553,Pressure,02-Mar2019 04:28:57,4
40554,Emission,02-Mar2019 04:31:21,8
40555,Fuel Rate,02-Mar2019 04:29:25,26
40556,Gas Flow,02-Mar2019 04:32:37,75
40557,Temperature,02-Mar2019 04:29:13,69
40558,RPM,02-Mar2019 04:26:41,1484
40559,Gas Flow,02-Mar2019 04:32:41,68
40560,Moisture,02-Mar2019 04:29:37,63%
40561,Fuel Rate,02-Mar2019 04:29:29,26
40562,Gas Flow,02-Mar2019 04:32:45,72
40563,Pressure,02-Mar2019 04:29:01,5
40564,No2,02-Mar2019 04:28:29,Medium
40565,Temperature,02-Mar2019 04:29:17,68
40566,Fuel Rate,02-Mar2019 04:29:33,I/O TimeOut
40567,Emission,02-Mar2019 04:31:25,6
40568,Fuel Rate,02-Mar2019 04:29:37,26
40569,Discharge,02-Mar2019 04:33:32,15
40570,RPM,02-Mar2019 04:26:45,1852
40571,No2,02-Mar2019 04:28:33,Medium
